economy,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021
NZL,0.587564086381346,0.589286034969052,1.73717486434422,1.97355854434158,1.48621908244575,1.12877350967992,1.21898486028427,0.932407687512324,0.848701402422591,0.999728031208421,1.1117260560215,0.762479795105218,0.548220797298334,0.768347998194806,1.66101200071152,2.0360339086492,2.24603210015584,2.08872272281936,1.79124016759035,1.59115889619722,2.20478869594563,0.415621677337565
OED,0.726363968929135,0.755294108958154,0.756803932609884,0.741121860524572,0.739035150707707,0.723831984590362,0.738911941525956,0.761949663069728,0.762649715975499,0.69324138379028,0.648604114932411,0.506790429022999,0.622016592877998,0.647768318096894,0.679812281128662,0.6604180964177,0.659983315400197,0.605262756129747,0.563209880225912,0.492592400151764,0.535585904688872,0.169445880468672
OMN,1.35943683310458,1.28845205052626,1.21408381409051,1.15573172024923,1.52050035159895,1.85946621776946,1.79115994007007,1.74406111328877,1.72461361834632,1.73916451569952,6.61155222833165,10.6840726819136,9.75816930384769,7.65038581747282,4.9227496816523,4.45160788841889,4.80412978549779,3.21694904054482,1.29724948709333,0.0350068045198641,-1.29824513056146,-0.5059218392323
OSS,1.88388912656646,1.8001137980457,1.76042433506115,1.72013527149286,1.75531410059138,2.0179830740629,2.49393178758253,2.75580271034461,2.74354042722868,2.51598041668669,2.12303402735957,1.90816123800977,2.01071063050615,2.20338908177541,2.41538677925402,2.46817855763088,2.32589724561343,2.07956470599453,1.79111956624357,1.62246152827173,1.17475830777339,1.00925949487645
PAK,3.07555291166784,3.09207918437975,2.50885975954029,2.1893881210377,2.23514920732307,2.15849215504399,2.0985131417675,2.14152397156301,2.17888921699852,2.2291625346925,2.25257934512803,2.11083457768435,1.7979754297027,1.53689764905925,1.40918297342086,1.29655172364692,1.20405567252781,1.32813543357738,1.5371724033626,1.6079813474837,1.73302782045863,1.83406208240793
PAN,1.97188791278722,1.95603782398984,1.94007586747458,1.92364701840572,1.92079922199436,1.91043496107333,1.87901413538404,1.85414918870892,1.8381638086969,1.81636347456987,1.78967209984493,1.77943456083626,1.77844896646925,1.76061359830409,1.74411571812086,1.74123543377264,1.73456002172234,1.71694872170027,1.67512297561619,1.60228973055272,1.4510521369147,1.3156150150044
PER,1.52044227070086,1.34331954460691,1.17608515721159,1.05113533724533,0.974731754515074,0.904184155760706,0.827239266792745,0.769759369616088,0.716987182658426,0.702724346623641,0.756357202975091,0.845382115888711,0.918055908591097,0.967486220265649,1.04365112789631,1.17223066396866,1.36122543775229,1.50694618507609,1.87582164020533,1.90972560807882,1.45140240084226,1.22566025209601
PHL,2.21679406368577,2.1168672092615,2.06267818983041,2.01831250528467,1.98712673013663,1.93575552038701,1.88401982804789,1.87034863111627,1.87043157688419,1.84004284987183,1.80164390376145,1.78165880217122,1.74352515093364,1.68695605708093,1.6168406041295,1.66983002094225,1.77382446993613,1.76102262001195,1.70024776555145,1.65518369204871,1.62663290469171,1.49455716704944
PLW,1.76959560691815,0.515751762652575,0.115930353970459,0.145981753039584,0.135722744336851,-0.382505876810364,-1.0747885465001,-1.29795332493524,-1.37259095767935,-1.45541484875174,-1.53083329873194,-1.63135754915238,-1.62497357703192,-0.788793214612497,-0.0505603785945698,-0.0112391121219639,0.123560813249084,0.117802162109984,0.151256296169056,0.290665380719677,0.312082286285984,0.288921192202971
PNG,3.4521329401203,3.39455509979259,3.34955956126701,3.31123407239589,3.26552943968256,3.2156031499028,3.17128786595142,3.12366111372057,3.08611399149295,3.0478162226257,3.00352670267458,2.90298961470657,2.77799045268741,2.69288253584226,2.61569523033674,2.54320066295637,2.46859434505795,2.39411255967524,2.325313321969,2.26018781066996,2.14763227357632,2.02856054038959
POL,-1.04433539837844,-0.0275871247282958,-0.0463189372499392,-0.067492701646486,-0.0585127351273288,-0.043948953332248,-0.0633705742926632,-0.0543050208038707,0.0136373796827091,0.067763227021235,-0.285609121534849,0.0537697088781007,-0.000239076003298365,-0.0603600174744649,-0.0748462292920506,-0.0666411009657168,-0.04298513087435,0.0124800985844923,-0.000200132782838419,-0.0244271070993493,-0.175062058196296,-0.401728616642455
PRE,2.82034676005263,2.82873163160309,3.03989273450971,3.08073090228285,2.9627224639694,2.97750177246814,2.90741935507542,2.76398701386624,2.90408939777824,3.02982712321808,2.98056441687213,3.00072062916756,3.03336750214302,3.02224790162182,2.95936462526929,2.87703837820284,2.85738455089992,2.8489819426371,2.81231710296814,2.79516895262755,2.78956673113984,2.72600880704496
PRI,0.276558688867414,0.214145951376015,0.128937305848895,0.0625899064015263,0.0204626359646878,-0.144242360500613,-0.423467205495354,-0.585620757159528,-0.58667739163101,-0.54540189449208,-0.506170056982176,-1.15654029293994,-1.20998793422288,-1.14593097838135,-1.6331283312239,-1.75920825815177,-1.93497109034618,-2.4180176217623,-4.0483910336329,0.0106465459574109,2.71397643163413,-0.576507689869367
PRK,0.698115634060685,0.620583476817431,0.533984339747177,0.60436980005948,0.700697475242568,0.632894010472634,0.557668311641366,0.496973102800538,0.460993034958389,0.458556258017028,0.425940886169344,0.393586759082814,0.418674807001654,0.457206407016513,0.49597980701513,0.523515080357903,0.519654351165206,0.497821203562078,0.476315091651054,0.456446820087896,0.434017300434564,0.402945210274924
PRT,0.702859953319024,0.705230637323876,0.547667939660689,0.375411414855816,0.239128989611917,0.185532266654625,0.18033244147767,0.196304384487306,0.144191279853498,0.0953308592370666,0.0459100367184907,-0.147084878575482,-0.405421787747567,-0.548815210952228,-0.539190466792077,-0.414141101993213,-0.315459016997883,-0.243889410358812,-0.160104021146769,0.0237334946497115,0.10511412524675,0.272191902136354
PRY,1.92694524157704,1.69755299380957,1.42830817376899,1.25459291928333,1.17127562545308,1.11178740173656,1.04976165973902,0.997237882485964,0.979118914218707,1.01212367069034,1.15140184845157,1.29733854365491,1.34923843816846,1.38035856649557,1.40654396942745,1.4220035710818,1.42498352233719,1.40691381584073,1.37397022115058,1.33657480808218,1.34872957032065,1.27761600231743
PSE,2.55523569844846,2.5552675698799,2.55528456623402,2.55524755562296,2.55527589181892,2.5552623734323,2.55525867519272,2.55525196026943,2.75135880229092,2.66795074941001,2.59703221798976,2.52518683079236,2.46768715003228,2.40084831983677,2.3440772109436,2.29048005844149,2.24610527580178,1.98868634871278,2.5330114844554,2.51178246264674,2.48654993848325,2.45703865277568
PSS,1.46191499849726,1.40106068168153,1.34270390414075,1.30086920606966,1.27496198897468,1.24232342717623,1.23057692325395,1.20652500068196,1.14227803338427,1.09451185117872,1.10941770507993,1.12466275977113,1.10747119818639,1.10541261626361,1.10291042420376,1.08584846514459,1.08528904437148,1.07611886009276,1.0450986872163,1.02954873385903,1.21246653286384,1.37734682500013
PST,0.50042197994982,0.478743583594039,0.50096062915614,0.496343557646384,0.512212995281772,0.502030147184314,0.538710192105825,0.584241589064476,0.602794961653743,0.512237107649966,0.463609629933387,0.273534605217577,0.417621621319469,0.438024514241746,0.455201991316429,0.446977302140098,0.451993656161903,0.380616573221133,0.353657168637426,0.286813827863639,0.369472318877428,-0.0786511575842468
PYF,1.6498682624854,1.62936233841902,1.59011958183693,1.54547312227047,1.49313076537124,1.45972803316776,1.40708342631452,1.18501637126492,0.851928064290659,0.612963661508526,0.531736671222477,0.519109227709588,0.461311408821609,0.503989817548146,0.637131095156152,0.65811880076494,0.59932388341049,0.648229492369303,0.727084625433978,0.706823205794027,0.732338551627656,0.697087740409896
QAT,5.18445021336724,4.96702253375353,4.93700548143404,4.83623474765467,3.85486532773939,8.70642929198329,17.898545339652,19.360428664312,15.9056839638554,10.8795500522929,6.21360458813461,5.15608097721193,5.47271987641268,6.59135749712435,8.42688590935528,8.65116205432081,7.21280238660749,4.39455430208811,2.00708135491804,1.45331728352711,-1.68298503942558,-2.64853183197257
ROU,-0.129440039806255,-1.39542998635748,-1.83065499370162,-0.7212622974018,-0.569786272532879,-0.61753095660306,-0.592402560029107,-1.47722298197717,-1.66638264306554,-0.833088754778975,-0.593959183588628,-0.491866212866043,-0.445177936198383,-0.371323062878035,-0.374575497762261,-0.470052227864654,-0.573660845379617,-0.578007015146885,-0.587493307403584,-0.526814821936341,-0.550759892541776,-0.757432344210514
RUS,-0.420614990249978,-0.424090524785415,-0.460024258081391,-0.453780668020263,-0.402681471328549,-0.381452794741516,-0.327445270108383,-0.17108203294568,-0.0439492591634852,0.0301077605196216,0.0448957880908489,0.077981777433695,0.168305035277726,0.212950704549247,0.217642262118,0.192557946508244,0.170245238698228,0.106870569429971,-0.0130668924933287,-0.0495686654330689,-0.230950388878624,-0.43395152847745
RWA,1.24573125745531,1.39530227863448,1.78798197593577,2.31040451162765,2.57920977781251,2.63169301631945,2.66480719140037,2.6937067262308,2.68159866469225,2.64057029628242,2.6071051025344,2.56550960901795,2.45984040638473,2.3792915199656,2.3775340228914,2.38595568459796,2.44299698959529,2.47880785239257,2.43503841544025,2.39079436618151,2.3967070500013,2.3717515483557
SAS,1.96181826796038,1.94528936168248,1.93510475003487,1.86639027500284,1.7688775690531,1.68640610879149,1.59797266750894,1.50468338068985,1.46304712198403,1.46973482201224,1.47484358629883,1.46649703701338,1.41306624754006,1.34471127256852,1.29044353805538,1.22659659590465,1.21244270449937,1.21635989643084,1.18765185903627,1.14447328523353,1.12446941929608,1.02946393006668
SAU,2.52723635699494,2.46860133878166,2.40447229697642,2.30459354525526,2.18309041865558,3.06242987376478,3.95879667991777,3.92920488472079,3.85387472835296,3.74300660963915,3.20649410639241,2.4815925615212,2.19976275661053,2.12178788388145,2.02203271109992,1.92462213676111,2.014458627481,2.29816056079707,2.38415003117342,2.28458901092139,0.472667096302666,-0.129847471045763
SDN,2.55963690837227,2.43590785577774,2.28583965848042,2.21912557576201,2.25392586427754,2.42945361033328,2.64703640708656,2.78996436965565,2.76377910390166,2.71626568948597,2.37468258916878,1.9944775499975,2.12762901437903,2.3357525902736,2.77449286124806,3.10751167131043,3.11054531285464,3.25461617065729,3.19148702209797,2.89358996893094,2.75677878454575,2.70104593999388
SEN,2.35349186373024,2.38007633836581,2.41498169831971,2.45996800523196,2.50033904791585,2.54126351828797,2.60233440516001,2.63281190597884,2.63754388814397,2.67674749775798,2.71070159961371,2.72203680436678,2.72697235540654,2.71181928883915,2.71905100988297,2.72463609047466,2.7154429589038,2.7179778377713,2.71464328183934,2.69763115886709,2.68438184925041,2.64538054494311
SGP,1.73204223254257,2.69735584326358,0.912639805776796,-1.47453284191939,1.2519166730553,2.35051128857175,3.1293891560754,4.16600286360933,5.32151708302623,3.0159499147579,1.77183287926401,2.08490245606007,2.45339033031018,1.61930809858875,1.29844017799226,1.18637693749822,1.29743609938602,0.0885954699924263,0.469704298714121,1.14428330688929,-0.311904961250833,-4.17033630017526
SLB,2.53167345846883,2.39380068808573,2.3262995615241,2.29314328165436,2.26568934347868,2.24285314785611,2.24291000270575,2.2422684243981,2.23050143791026,2.26712423337321,2.35185573397427,2.43624466471624,2.50431283407337,2.5393320797232,2.54476579755385,2.52650758971794,2.48924408661005,2.44276679046656,2.39710667907408,2.36010120913781,2.3713876123354,2.3817422996453
SLE,2.40478419249569,5.785413309402,5.66343352057259,4.01910155879324,3.35235443124014,2.6748408801911,2.20036392928469,2.20265426987169,2.52210725035976,2.73656583182459,2.78607305276662,2.6928730024304,2.62984140386497,2.56345431818352,2.49317673033998,2.40868716120881,2.4195089151865,2.42113485779471,2.36471306664028,2.33284062492806,2.29903034010859,2.24176737112654
